iter	Passed	Remaining
985	12014	292601
986	12025	292577
987	12037	292564
988	12049	292540
989	12060	292507
990	12073	292495
991	12086	292504
992	12098	292489
993	12109	292460
994	12121	292446
995	12134	292434
996	12145	292403
997	12157	292400
998	12170	292386
999	12182	292381
1000	12194	292369
1001	12206	292356
1002	12219	292345
1003	12231	292329
1004	12243	292320
1005	12255	292311
1006	12268	292323
1007	12281	292318
1008	12293	292299
1009	12304	292269
1010	12316	292242
1011	12328	292229
1012	12340	292204
1013	12351	292177
1014	12363	292160
1015	12375	292134
1016	12387	292113
1017	12398	292094
1018	12410	292075
1019	12422	292055
1020	12434	292027
1021	12445	292002
1022	12458	291990
1023	12469	291969
1024	12482	291973
1025	12494	291953
1026	12506	291931
1027	12517	291899
1028	12529	291869
1029	12540	291846
1030	12552	291827
1031	12564	291797
1032	12575	291765
1033	12586	291739
1034	12598	291717
1035	12610	291685
1036	12621	291657
1037	12632	291629
1038	12645	291630
1039	12658	291624
1040	12671	291628
1041	12682	291609
1042	12694	291582
1043	12705	291552
1044	12717	291528
1045	12728	291499
1046	12740	291480
1047	12752	291450
1048	12763	291424
1049	12775	291412
1050	12787	291393
1051	12799	291381
1052	12811	291366
1053	12824	291361
1054	12836	291348
1055	12848	291328
1056	12860	291308
1057	12873	291317
1058	12886	291323
1059	12898	291316
1060	12911	291313
1061	12923	291302
1062	12935	291295
1063	12948	291292
1064	12960	291284
1065	12973	291279
1066	12985	291271
1067	12998	291262
1068	13010	291248
1069	13022	291247
1070	13035	291244
1071	13049	291273
1072	13063	291309
1073	13077	291333
1074	13090	291344
1075	13104	291366
1076	13117	291383
1077	13131	291406
1078	13144	291410
1079	13157	291415
1080	13170	291431
1081	13184	291446
1082	13197	291444
1083	13209	291434
1084	13221	291419
1085	13232	291382
1086	13244	291358
1087	13256	291343
1088	13267	291317
1089	13280	291310
1090	13293	291321
1091	13306	291340
1092	13320	291356
1093	13334	291376
1094	13347	291387
1095	13360	291398
1096	13373	291406
1097	13387	291419
1098	13400	291425
1099	13413	291430
1100	13426	291435
1101	13439	291452
1102	13453	291467
1103	13466	291478
1104	13480	291499
1105	13493	291522
1106	13507	291548
1107	13521	291575
1108	13535	291595
1109	13548	291607
1110	13562	291621
1111	13575	291627
1112	13588	291632
1113	13601	291642
1114	13614	291651
1115	13627	291657
1116	13641	291670
1117	13654	291679
1118	13668	291702
1119	13682	291723
1120	13695	291744
1121	13709	291761
1122	13722	291771
1123	13736	291780
1124	13749	291785
1125	13762	291796
1126	13775	291799
1127	13788	291809
1128	13801	291818
1129	13815	291826
1130	13828	291831
1131	13841	291837
1132	13858	291940
1133	13874	292000
1134	13888	292016
1135	13901	292024
1136	13914	292026
1137	13927	292040
1138	13940	292047
1139	13953	292051
1140	13967	292064
1141	13980	292070
1142	13992	292048
1143	14004	292031
1144	14015	291998
1145	14027	291975
1146	14038	291948
1147	14050	291928
1148	14062	291911
1149	14075	291905
1150	14087	291901
1151	14100	291910
1152	14112	291884
1153	14123	291850
1154	14135	291832
1155	14147	291809
1156	14159	291784
1157	14170	291757
1158	14182	291733
1159	14194	291720
1160	14206	291697
1161	14218	291678
1162	14230	291662
1163	14241	291635
1164	14253	291613
1165	14265	291598
1166	14277	291574
1167	14289	291571
1168	14301	291554
1169	14313	291529
1170	14324	291497
1171	14336	291466
1172	14347	291441
1173	14358	291410
1174	14370	291378
1175	14382	291359
1176	14394	291354
1177	14406	291341
1178	14419	291329
1179	14431	291328
1180	14444	291323
1181	14456	291299
1182	14468	291289
1183	14480	291273
1184	14492	291256
1185	14503	291227
1186	14515	291205
1187	14527	291181
1188	14538	291153
1189	14550	291139
1190	14562	291113
1191	14574	291090
1192	14585	291063
1193	14598	291059
1194	14610	291044
1195	14622	291023
1196	14633	290987
1197	14645	290980
1198	14658	290974
1199	14670	290972
1200	14683	290962
1201	14695	290941
1202	14706	290912
1203	14718	290889
1204	14729	290870
1205	14741	290842
1206	14753	290820
1207	14765	290808
1208	14777	290788
1209	14789	290769
1210	14801	290752
1211	14812	290734
1212	14824	290706
1213	14835	290676
1214	14847	290654
1215	14859	290636
1216	14870	290611
1217	14883	290600
1218	14894	290574
1219	14906	290555
1220	14918	290529
1221	14929	290505
1222	14941	290486
1223	14952	290456
1224	14964	290435
1225	14976	290420
1226	14988	290398
1227	14999	290367
1228	15011	290341
1229	15022	290309
1230	15034	290298
1231	15046	290286
1232	15059	290273
1233	15071	290267
1234	15083	290254
1235	15095	290235
1236	15107	290219
1237	15119	290195
1238	15131	290181
1239	15143	290160
1240	15154	290135
1241	15166	290115
1242	15178	290100
1243	15190	290089
1244	15202	290067
1245	15213	290037
1246	15225	290008
1247	15236	289990
1248	15248	289956
1249	15259	289923
1250	15272	289928
1251	15285	289934
1252	15298	289946
1253	15312	289956
1254	15323	289933
1255	15335	289906
1256	15346	289883
1257	15358	289856
1258	15370	289848
1259	15383	289835
1260	15394	289818
1261	15407	289808
1262	15419	289795
1263	15431	289780
1264	15444	289777
1265	15456	289765
1266	15468	289758
1267	15481	289745
1268	15492	289720
1269	15504	289706
1270	15516	289693
1271	15528	289674
1272	15540	289652
1273	15552	289629
1274	15564	289626
1275	15577	289619
1276	15589	289617
1277	15602	289604
1278	15614	289594
1279	15626	289582
1280	15638	289571
1281	15651	289559
1282	15662	289536
1283	15674	289512
1284	15686	289492
